start.location,start.country,start.city,start.latitude,start.longitude,end.location,end.country,end.city,end.latitude,end.longitude,date,journey,number.of.letters,start.state,end.state
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1871-01-22,-74.005941 40.712784 -74.005941 40.712784,260,NY,SA
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1871-07-30,-74.005941 40.712784 -74.005941 40.712784,260,NY,SA
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1871-10-01,-74.005941 40.712784 -74.005941 40.712784,260,NY,SA
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1872-01-28,-74.005941 40.712784 -74.005941 40.712784,260,NY,SA
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1872-05-25,-74.005941 40.712784 -74.005941 40.712784,260,NY,SA
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1872-07-31,-74.005941 40.712784 -74.005941 40.712784,260,NY,SA
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1872-10-06,-74.005941 40.712784 -74.005941 40.712784,260,NY,SA
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1873-01-12,-74.005941 40.712784 -74.005941 40.712784,260,NY,SA
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1873-03-18,-74.005941 40.712784 -74.005941 40.712784,260,NY,SA
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1873-04-10,-74.005941 40.712784 -74.005941 40.712784,260,NY,SA
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1873-10-15,-74.005941 40.712784 -74.005941 40.712784,260,NY,SA
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1873-12-10,-74.005941 40.712784 -74.005941 40.712784,260,NY,SA
"USA, San Francisco (CA)",USA,San Francisco,37.77493,-122.419416,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1880-05-21,-122.419416 37.77493 -122.419416 37.77493,40,CA,SA
"USA, San Francisco (CA)",USA,San Francisco,37.77493,-122.419416,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1880-08-01,-122.419416 37.77493 -122.419416 37.77493,40,CA,SA
"USA, San Francisco (CA)",USA,San Francisco,37.77493,-122.419416,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1881-03-01,-122.419416 37.77493 -122.419416 37.77493,40,CA,SA
"USA, San Francisco (CA)",USA,San Francisco,37.77493,-122.419416,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1882-05-08,-122.419416 37.77493 -122.419416 37.77493,40,CA,SA
"USA, San Francisco (CA)",USA,San Francisco,37.77493,-122.419416,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1883-12-03,-122.419416 37.77493 -122.419416 37.77493,40,CA,SA
"USA, San Francisco (CA)",USA,San Francisco,37.77493,-122.419416,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1887-05-08,-122.419416 37.77493 -122.419416 37.77493,40,CA,SA
"USA, San Francisco (CA)",USA,San Francisco,37.77493,-122.419416,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1904-01-30,-122.419416 37.77493 -122.419416 37.77493,40,CA,SA
"USA, Sonoma (CA)",USA,Sonoma,38.291859,-122.458036,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1913-01-09,-122.458036 38.291859 -122.458036 38.291859,3,CA,SA
"USA, Sonoma (CA)",USA,Sonoma,38.291859,-122.458036,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1914-06-15,-122.458036 38.291859 -122.458036 38.291859,3,CA,SA
"USA, Sonoma (CA)",USA,Sonoma,38.291859,-122.458036,"DEU, Limbach (SA)",DEU,Limbach,50.584022,12.252519,1915-01-06,-122.458036 38.291859 -122.458036 38.291859,3,CA,SA
"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,1898-08-20,11.142585 50.581574 11.142585 50.581574,1,TH,NY
